fold_id,candidate,family,train_runs,validation_run,test_run,selected_config_id,selected_q_threshold,selected_hi_value,selected_lo_value,validation_score,validation_return,validation_trades,validation_fill_rate,delay_seconds,max_spread,max_overround,min_depth,max_adverse_slippage,fixed_slippage,fraction
14,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1",25665168591_attempt1,25791429807_attempt1,d8_sp40_ov30_dep100_adv5_fix25_f100,0.9,0.5741445098426518,-0.5502848512481479,0.8205078125,0.03610245484561525,14,0.38,8,0.04,0.03,100.0,0.005,0.0025,0.01
15,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1",25791429807_attempt1,25852951350_attempt1,d4_sp40_ov30_dep100_adv15_fix25_f100,,,,0.8621093750000001,0.041996040514537425,17,0.39622641509433965,4,0.04,0.03,100.0,0.015,0.0025,0.01
15,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1",25791429807_attempt1,25852951350_attempt1,d4_sp60_ov30_dep100_adv5_fix75_f100,0.85,0.25932020456566374,-0.2466628693423913,0.7970052083333333,0.01135215181259519,17,0.2,4,0.06,0.03,100.0,0.005,0.0075,0.01
15,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1",25791429807_attempt1,25852951350_attempt1,d4_sp40_ov30_dep300_adv5_fix25_f100,0.95,0.7004507922387774,-0.6950392224442083,0.8845703125,-0.014466178471713387,6,0.3181818181818182,4,0.04,0.03,300.0,0.005,0.0025,0.01
16,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1",25852951350_attempt1,25911485679_attempt1,d8_sp40_ov30_dep300_adv5_fix25_f200,,,,0.793359375,0.07720537257570448,12,0.14285714285714285,8,0.04,0.03,300.0,0.005,0.0025,0.02
16,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1",25852951350_attempt1,25911485679_attempt1,d4_sp40_ov30_dep100_adv15_fix75_f200,0.85,0.2655028279310228,-0.24558613902795912,0.8032552083333333,0.01970888593528075,20,0.3448275862068966,4,0.04,0.03,100.0,0.015,0.0075,0.02
16,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1",25852951350_attempt1,25911485679_attempt1,d4_sp40_ov30_dep100_adv5_fix25_f100,0.95,0.6999529724036787,-0.6931614991941366,0.8033203125,0.023646575816201,8,0.47619047619047616,4,0.04,0.03,100.0,0.005,0.0025,0.01
17,classic_early_drop_down,classic_microstructure,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1",25911485679_attempt1,25957739510_attempt1,d4_sp40_ov30_dep100_adv15_fix25_f200,,,,0.709765625,0.06954434282684563,18,0.4166666666666667,4,0.04,0.03,100.0,0.015,0.0025,0.02
17,btc2_path_eff,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1",25911485679_attempt1,25957739510_attempt1,d4_sp40_ov30_dep100_adv15_fix25_f100,0.85,0.2597551015457402,-0.24964637749133659,0.8954427083333334,0.03694897048417811,20,0.47297297297297297,4,0.04,0.03,100.0,0.015,0.0025,0.01
17,size_imbalance_uncertainty,alphaforge_interaction,"24949259015_attempt1,24952032748_attempt1,24986940107_attempt1,25044896828_attempt1,25100490855_attempt1,25157440693_attempt1,25208977834_attempt1,25247789591_attempt1,25274678535_attempt1,25311264469_attempt1,25367630341_attempt1,25427145257_attempt1,25487949887_attempt1,25545252940_attempt1,25596809734_attempt1,25624592440_attempt1,25665168591_attempt1,25791429807_attempt1,25852951350_attempt1",25911485679_attempt1,25957739510_attempt1,d8_sp40_ov30_dep100_adv5_fix25_f100,0.9,0.5711059923714842,-0.5441617574609088,0.8619140625,0.06607657277298595,17,0.38095238095238093,8,0.04,0.03,100.0,0.005,0.0025,0.01
