source_layer,strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,median_trade_return_on_cost,win_rate,profit_factor,max_drawdown,max_consecutive_losses,avg_entry_minute,avg_signal_score,p10_trade_return_on_cost,score_end,score_win,score_pf,score_dd,score_streak,score_tail,robustness_score
all_monthly_clob_systematic,static_m1_drop20_down,fixed_10pct,152,80.3294735753346,-0.19670526424665402,0.00994612634187543,0.26923076923076916,0.743421052631579,0.9457497499685453,0.6140951066614905,3,1.0,,-1.0149034240561896,0.6875,0.578125,0.71875,0.78125,0.578125,0.578125,0.6687500000000002
all_monthly_clob_systematic,static_m2_drop10_down_liq,fixed_15pct,138,68.82736968656789,-0.31172630313432104,0.010149232902942952,0.18567125645438903,0.7681159420289855,0.8254194348850695,0.8849987637781572,3,2.0,,-1.0136986301369861,0.65625,0.828125,0.46875,0.40625,0.578125,0.859375,0.615625
all_monthly_clob_systematic,state_selector_robust,fixed_10pct,72,61.48639251101287,-0.3851360748898712,-0.03958617528760913,0.21476964769647694,0.7222222222222222,0.8088543733033312,0.555970498929707,2,1.375,0.05976302910464705,-1.0149253731343284,0.625,0.328125,0.40625,0.84375,0.890625,0.453125,0.575
all_monthly_clob_systematic,static_m1_drop20_down,fixed_15pct,152,56.93360414763988,-0.4306639585236012,0.009946126341875422,0.26923076923076916,0.743421052631579,0.908464376628677,0.7722634560148737,3,1.0,,-1.0149034240561896,0.59375,0.578125,0.625,0.59375,0.578125,0.578125,0.5937500000000001
all_monthly_clob_systematic,static_m2_sharpdrop_up_liq,fixed_15pct,38,52.61597214161659,-0.47384027858383415,0.11007571221187605,-1.0408333333333335,0.2894736842105263,0.9194851077607784,0.8145742298755407,9,2.0,,-1.068095238095238,0.5625,0.203125,0.65625,0.53125,0.203125,0.25,0.4359375000000001
all_monthly_clob_systematic,static_m2_drop10_down_liq,fixed_20pct,138,45.747701946420385,-0.5425229805357962,0.010149232902942952,0.18567125645438903,0.7681159420289855,0.6834796587653277,0.9555328523609896,3,2.0,,-1.0136986301369861,0.53125,0.828125,0.0625,0.1875,0.578125,0.859375,0.465625
all_monthly_clob_systematic,state_selector_robust,fixed_15pct,72,42.452313267488165,-0.5754768673251183,-0.03958617528760913,0.21476964769647694,0.7222222222222222,0.7945065502311911,0.7181873019955629,2,1.375,0.05976302910464705,-1.0149253731343284,0.5,0.328125,0.3125,0.6875,0.890625,0.453125,0.5
all_monthly_clob_systematic,state_selector_pnl,fixed_10pct,127,41.457781234050096,-0.585422187659499,-0.04348932776963709,0.2374999999999999,0.7244094488188977,0.8103011415040614,0.728458407773193,4,1.5275590551181102,0.043449263744630054,-1.014793678665496,0.46875,0.453125,0.4375,0.65625,0.328125,0.6875,0.5046875000000001
all_monthly_clob_systematic,static_m1_drop20_down,fixed_20pct,152,33.020659955576534,-0.6697934004442347,0.009946126341875411,0.26923076923076916,0.743421052631579,0.8666077554061155,0.8747317565102896,3,1.0,,-1.0149034240561896,0.4375,0.578125,0.53125,0.4375,0.578125,0.578125,0.5125000000000001
all_monthly_clob_systematic,static_m2_sharpdrop_up_liq,fixed_20pct,38,26.400098169538463,-0.7359990183046154,0.11007571221187605,-1.0408333333333335,0.2894736842105263,0.8922017803111734,0.9031055585307237,9,2.0,,-1.0680952380952382,0.40625,0.203125,0.59375,0.375,0.203125,0.1875,0.35468750000000004
all_monthly_clob_systematic,static_m2_drop10_down_liq,fixed_25pct,138,25.854861191413892,-0.7414513880858611,0.010149232902942952,0.18567125645438903,0.7681159420289855,0.5347616599001043,0.9849645638933651,3,2.0,,-1.0136986301369864,0.375,0.828125,0.03125,0.125,0.578125,0.796875,0.40937500000000004
all_monthly_clob_systematic,state_selector_robust,fixed_20pct,72,25.257786671048745,-0.7474221332895126,-0.039586175287609146,0.21476964769647697,0.7222222222222222,0.7690789321941217,0.8308954274262308,2,1.375,0.05976302910464705,-1.0149253731343284,0.34375,0.328125,0.125,0.5,0.890625,0.453125,0.39375000000000004
all_monthly_clob_systematic,state_selector_pnl,fixed_15pct,127,21.637069070931126,-0.7836293092906887,-0.04348932776963708,0.23749999999999988,0.7244094488188977,0.8050596636488462,0.8732517493690829,4,1.5275590551181102,0.043449263744630054,-1.014793678665496,0.3125,0.453125,0.375,0.46875,0.328125,0.6875,0.4234375
all_monthly_clob_systematic,static_m1_drop20_down,fixed_25pct,152,16.321126749185765,-0.8367887325081423,0.009946126341875437,0.26923076923076916,0.743421052631579,0.8324957387040223,0.9360569801009113,3,1.0,,-1.0149034240561896,0.28125,0.578125,0.5,0.3125,0.578125,0.578125,0.44999999999999996
all_monthly_clob_systematic,state_selector_robust,fixed_25pct,72,13.847853429365305,-0.8615214657063469,-0.03958617528760914,0.21476964769647694,0.7222222222222222,0.7524014044114405,0.9043387484956313,2,1.375,0.05976302910464705,-1.0149253731343284,0.25,0.328125,0.09375,0.34375,0.890625,0.453125,0.3375
all_monthly_clob_systematic,static_m2_sharpdrop_up_liq,fixed_25pct,38,11.007454031999536,-0.8899254596800046,0.11007571221187605,-1.0408333333333335,0.2894736842105263,0.8713016007099429,0.9519301747577692,9,2.0,,-1.0680952380952382,0.21875,0.203125,0.5625,0.21875,0.203125,0.1875,0.27968750000000003
all_monthly_clob_systematic,static_m2_extremeup_fade_down,fixed_10pct,52,10.805168973776661,-0.8919483102622334,-0.17699708495508082,-1.0833333333333333,0.09615384615384616,0.7745982597671279,0.9512890571214432,22,2.0,,-1.1666666666666665,0.1875,0.078125,0.15625,0.25,0.078125,0.109375,0.153125
all_monthly_clob_systematic,state_selector_pnl,fixed_20pct,127,8.460280514943925,-0.9153971948505608,-0.04348932776963709,0.2374999999999999,0.7244094488188977,0.7908358377190131,0.9508975155860947,4,1.5275590551181102,0.043449263744630054,-1.0147936786654959,0.15625,0.453125,0.25,0.28125,0.328125,0.75,0.3359375
all_monthly_clob_systematic,state_selector_pnl,fixed_25pct,127,2.714388018845085,-0.9728561198115492,-0.04348932776963709,0.2374999999999999,0.7244094488188977,0.7845605072089247,0.9840283199627274,4,1.5275590551181102,0.043449263744630054,-1.014793678665496,0.125,0.453125,0.21875,0.15625,0.328125,0.6875,0.29218750000000004
all_monthly_clob_systematic,static_m2_extremeup_fade_down,fixed_15pct,52,1.8619067695765268,-0.9813809323042347,-0.17699708495508107,-1.0833333333333335,0.09615384615384616,0.7808137323580383,0.9916417113728329,22,2.0,,-1.1666666666666667,0.09375,0.078125,0.1875,0.09375,0.078125,0.046875,0.10312500000000001
all_monthly_clob_systematic,static_m2_extremeup_fade_down,fixed_20pct,52,0.23314117079754054,-0.9976685882920246,-0.17699708495508096,-1.0833333333333333,0.09615384615384616,0.7926411965812239,0.9990499186649606,22,2.0,,-1.1666666666666665,0.0625,0.078125,0.28125,0.0625,0.078125,0.109375,0.115625
all_monthly_clob_systematic,static_m2_extremeup_fade_down,fixed_25pct,52,0.027643484693429747,-0.9997235651530657,-0.17699708495508099,-1.0833333333333333,0.09615384615384616,0.800257437749771,0.9998964463740617,22,2.0,,-1.1666666666666667,0.03125,0.078125,0.34375,0.03125,0.078125,0.046875,0.10937500000000001
