strategy,trades,ending_bankroll,total_return,max_drawdown,win_rate,profit_factor,worst_144_return,median_144_return,positive_144_rate,active_144_rate,worst_864_return,median_864_return,positive_864_rate,active_864_rate,split,family
classic_extremeup_fade_down,26,77.1400083572883,-0.22859991642711708,0.4213215703786492,0.07692307692307693,0.728341042393817,-0.338412941221372,-0.08372592592592598,0.4116504854368932,1.0,,,,,validation,classic_quant
micro_book_consensus_down,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,validation,microstructure
micro_book_consensus_up,15,104.15575954335144,0.04155759543351434,0.10518892622524602,0.6666666666666666,1.1901909651414213,-0.10518892622524578,0.0,0.35145631067961164,0.8233009708737864,,,,,validation,microstructure
game_pm_overshoot_fade_up,40,54.807265467001564,-0.45192734532998435,0.4757176230844452,0.2,0.4849666675800658,-0.2580433728358481,-0.11435458666136111,0.17475728155339806,1.0,,,,,validation,game_theory
game_pm_squeeze_fade_down,37,107.51918404602814,0.07519184046028138,0.19735934736541644,0.35135135135135137,1.0835733512563388,-0.17043155777075025,0.030059564963081264,0.512621359223301,1.0,,,,,validation,game_theory
timeseries_momentum_up,4,94.62751369423154,-0.053724863057684646,0.07949173053650668,0.5,0.32414525768801383,-0.07949173053650671,0.0,0.3048543689320388,0.6077669902912621,,,,,validation,time_series
timeseries_momentum_down,1,95.94594594594595,-0.04054054054054046,0.04054054054054049,0.0,0.0,-0.04054054054054057,0.0,0.0,0.19805825242718447,,,,,validation,time_series
timeseries_reversion_down,26,80.04885208634568,-0.1995114791365432,0.38311998972702654,0.07692307692307693,0.7386634747434779,-0.30474416887708855,-0.07428449416106986,0.4116504854368932,1.0,,,,,validation,time_series
ml_logit_edge_06,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,validation,ml_value
ml_logit_edge_10,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,validation,ml_value
portfolio_micro_ts_mix,43,109.2125385568231,0.09212538556823113,0.1417957853598419,0.3488372093023256,1.1082478238492346,-0.10274490672193981,0.04811381165957496,0.5980582524271845,1.0,,,,,validation,portfolio
portfolio_conservative_v2,8,108.6558408249634,0.08655840824963401,0.045703125,0.75,1.976559997421083,-0.045703124999999956,0.03991479939927056,0.5145631067961165,0.537864077669903,,,,,validation,portfolio
v1_active_fill_mix,20,103.81344616504899,0.03813446165048995,0.1624725822793736,0.75,1.093726291772618,-0.14486146460206462,0.04221583900674486,0.6815533980582524,0.9844660194174757,,,,,test,previous_v1
v1_conservative_mix,14,100.31828432825232,0.0031828432825231623,0.1448614646020646,0.7142857142857143,1.0092168535522519,-0.14486146460206462,0.013556650945526494,0.6058252427184466,0.9844660194174757,,,,,test,previous_v1
v1_balanced_mix,14,100.58318081342522,0.005831808134252103,0.1811493329415328,0.7142857142857143,1.0128544125963972,-0.1811493329415329,0.01658536585365855,0.6058252427184466,0.9844660194174757,,,,,test,previous_v1
v1_adaptive_mix,14,100.87192478246563,0.008719247824656273,0.1766951772772725,0.7142857142857143,1.0202197880462653,-0.17669517727727224,0.016385734359501525,0.6485436893203883,0.9844660194174757,,,,,test,previous_v1
v1_logit_overlay_mix,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,test,previous_v1
classic_milddrop_down,24,80.73432159143168,-0.1926567840856832,0.27985272606836376,0.5833333333333334,0.6227516732073318,-0.21777077744115247,-0.019561849125066866,0.37281553398058254,1.0,,,,,test,classic_quant
classic_breakout_up,8,108.48653783692065,0.08486537836920638,0.018151884909977815,0.875,5.5160375888253705,-0.007242461408977663,0.008928571428571397,0.7766990291262136,0.8038834951456311,,,,,test,classic_quant
classic_early_drop_down,44,125.8578819783362,0.25857881978336206,0.1145808886578849,0.8181818181818182,1.5985155325309366,-0.09579854677485522,0.08646506937497267,0.7669902912621359,1.0,,,,,test,classic_quant
classic_sharpdrop_reversal_up,38,60.478888452563275,-0.39521111547436727,0.4962077700164908,0.18421052631578946,0.5908535295715615,-0.2794973099349001,-0.1502375723005901,0.26407766990291265,1.0,,,,,test,classic_quant
classic_extremeup_fade_down,35,70.15579347891573,-0.2984420652108427,0.42689306742359745,0.17142857142857143,0.666250664496811,-0.29872023071679,-0.1128118411581337,0.19029126213592232,1.0,,,,,test,classic_quant
micro_book_consensus_down,0,100.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,test,microstructure
micro_book_consensus_up,13,93.93881136040496,-0.0606118863959505,0.12145619761905031,0.5384615384615384,0.7514850517161445,-0.0635691382077711,-0.021943902799999915,0.2970873786407767,1.0,,,,,test,microstructure
game_pm_overshoot_fade_up,33,86.3072130549075,-0.13692786945092494,0.2693478173518032,0.30303030303030304,0.814409211041494,-0.2572011725002076,-0.019822462793351647,0.4155339805825243,1.0,,,,,test,game_theory
game_pm_squeeze_fade_down,26,54.51295541578217,-0.4548704458421783,0.4548704458421783,0.15384615384615385,0.2389312575343287,-0.2369662912945979,-0.08987465154675367,0.11650485436893204,1.0,,,,,test,game_theory
timeseries_momentum_up,1,103.61538461538461,0.0361538461538462,0.0,1.0,,0.0,0.0,0.2796116504854369,0.2796116504854369,,,,,test,time_series
