strategy,first_quote_ts,run_name,market_id,session_et,component,side,entry_minute,fraction,target_cost,entry_price,pnl_usd,event_ret,bankroll_after,recent_tail_flag,split
v1_conservative_mix,2026-04-26 08:15:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777191300,london,london_milddrop,buy_down,2,0.06,5.898757917478628,0.84,1.0533496281211838,0.010714285714285718,99.36598158609831,False,train
v1_conservative_mix,2026-04-26 08:45:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777193100,london,london_milddrop,buy_down,2,0.06,5.961958895165899,0.7,2.469954399425873,0.024857142857142862,101.83593598552419,False,train
v1_conservative_mix,2026-04-26 10:30:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777199400,london,london_milddrop,buy_down,2,0.06,6.110156159131451,0.82,-6.184670258633054,-0.06073170731707317,95.65126572689114,False,train
v1_conservative_mix,2026-04-26 10:40:02+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777200000,london,london_milddrop,buy_down,2,0.06,5.739075943613468,0.72,2.1521534788550505,0.0225,97.8034192057462,False,train
v1_conservative_mix,2026-04-26 11:15:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777202100,london,london_milddrop,buy_down,2,0.06,5.868205152344771,0.77,1.6766300435270771,0.017142857142857137,99.48004924927328,False,train
v1_conservative_mix,2026-04-26 11:45:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777203900,london,london_milddrop,buy_down,2,0.06,5.968802954956397,0.78,-6.04532606976353,-0.06076923076923077,93.43472317950975,False,train
v1_conservative_mix,2026-04-26 12:40:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777207200,london,london_milddrop,buy_down,2,0.06,5.606083390770585,0.8,1.3314448053080135,0.014249999999999995,94.76616798481776,False,train
v1_conservative_mix,2026-04-26 23:00:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777244400,asia,asia_breakout,buy_up,4,0.08,7.581293438785421,0.88,0.9476616798481776,0.01,95.71382966466594,False,train
v1_conservative_mix,2026-04-26 23:10:02+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777245000,asia,asia_breakout,buy_up,4,0.08,7.657106373173275,0.89,0.8603490306936263,0.00898876404494382,96.57417869535956,False,train
v1_conservative_mix,2026-04-27 01:20:02+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777252800,asia,asia_breakout,buy_up,4,0.08,7.7259342956287655,0.84,1.3796311242194228,0.01428571428571429,97.95380981957899,False,train
v1_conservative_mix,2026-04-27 02:15:02+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777256100,asia,asia_breakout,buy_up,4,0.08,7.83630478556632,0.8,1.8611223865720004,0.018999999999999996,99.814932206151,False,train
v1_conservative_mix,2026-04-27 03:40:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777261200,asia,asia_breakout,buy_up,4,0.08,7.98519457649208,0.9,0.7985194576492078,0.007999999999999998,100.6134516638002,False,train
v1_conservative_mix,2026-04-27 05:30:01+00:00,24949259015_attempt1,24949259015_attempt1::btc-updown-5m-1777267800,asia,asia_breakout,buy_up,4,0.08,8.049076133104016,0.69,3.4995983187408775,0.03478260869565218,104.11304998254109,False,train
v1_conservative_mix,2026-04-27 05:40:01+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777268400,asia,asia_breakout,buy_up,4,0.08,8.329043998603288,0.87,1.148833654979764,0.011034482758620692,105.26188363752085,False,train
v1_conservative_mix,2026-04-27 06:10:01+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777270200,london,london_milddrop,buy_down,2,0.06,6.315713018251251,0.68,2.879222111261599,0.02735294117647058,108.14110574878245,False,train
v1_conservative_mix,2026-04-27 06:25:01+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777271100,london,london_milddrop,buy_down,2,0.06,6.488466344926946,0.57,4.780975201525119,0.04421052631578948,112.92208095030757,False,train
v1_conservative_mix,2026-04-27 09:55:01+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777283700,london,london_milddrop,buy_down,2,0.06,6.775324857018454,0.75,2.168103954245905,0.019199999999999995,115.09018490455348,False,train
v1_conservative_mix,2026-04-27 11:35:01+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777289700,london,london_milddrop,buy_down,2,0.06,6.905411094273209,0.67,3.2981067912946664,0.028656716417910445,118.38829169584815,False,train
v1_conservative_mix,2026-04-27 12:40:02+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777293600,london,london_milddrop,buy_down,2,0.06,7.103297501750889,0.63,-7.2160482557469345,-0.060952380952380945,111.17224344010121,False,train
v1_conservative_mix,2026-04-27 17:45:01+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777311900,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,8.893779475208097,0.73,3.1676474843206925,0.028493150684931513,114.33989092442191,False,train
v1_conservative_mix,2026-04-27 19:20:02+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777317600,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,9.147191273953753,0.59,6.201485609460172,0.054237288135593226,120.54137653388209,False,train
v1_conservative_mix,2026-04-27 23:00:02+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777330800,asia,asia_breakout,buy_up,4,0.08,9.643310122710567,0.6,6.268151579761869,0.052000000000000005,126.80952811364395,False,train
v1_conservative_mix,2026-04-27 23:10:01+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777331400,asia,asia_breakout,buy_up,4,0.08,10.144762249091515,0.7,4.202830074623629,0.03314285714285715,131.01235818826757,False,train
v1_conservative_mix,2026-04-28 04:40:02+00:00,24952032748_attempt1,24952032748_attempt1::btc-updown-5m-1777351200,asia,asia_breakout,buy_up,4,0.08,10.480988655061406,0.85,1.7262804843630553,0.013176470588235296,132.73863867263063,False,train
v1_conservative_mix,2026-04-28 06:20:02+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777357200,london,london_milddrop,buy_down,2,0.06,7.964318320357838,0.78,2.144239547788648,0.01615384615384615,134.8828782204193,False,train
v1_conservative_mix,2026-04-28 06:40:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777358400,london,london_milddrop,buy_down,2,0.06,8.092972693225157,0.64,4.425844441607508,0.0328125,139.30872266202678,False,train
v1_conservative_mix,2026-04-28 07:55:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777362900,london,london_milddrop,buy_down,2,0.06,8.358523359721607,0.65,4.372150680469764,0.031384615384615386,143.68087334249654,False,train
v1_conservative_mix,2026-04-28 10:10:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777371000,london,london_milddrop,buy_down,2,0.06,8.620852400549792,0.62,5.144702239037779,0.03580645161290322,148.8255755815343,False,train
v1_conservative_mix,2026-04-28 10:20:01+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777371600,london,london_milddrop,buy_down,2,0.06,8.929534534892058,0.69,3.882406319518287,0.026086956521739136,152.7079819010526,False,train
v1_conservative_mix,2026-04-28 16:15:00+00:00,24986940107_attempt1,24986940107_attempt1::btc-updown-5m-1777392900,us_afternoon,us_afternoon_milddrop,buy_down,2,0.08,12.216638552084207,0.63,6.98093631547669,0.045714285714285714,159.6889182165293,False,train
