strategy,sizing,trades,ending_bankroll,total_return,avg_trade_return_on_cost,max_drawdown,source_layer
value_down_margin2_q,fixed_15pct,0,100.0,0.0,,0.0,extended_classic
value_down_margin2_q,fixed_10pct,0,100.0,0.0,,0.0,extended_classic
pressure_imbalance_2m,fixed_25pct,0,100.0,0.0,,0.0,extended_classic
value_down_margin5_q,fixed_25pct,0,100.0,0.0,,0.0,extended_classic
value_down_margin5_q,fixed_20pct,0,100.0,0.0,,0.0,extended_classic
value_up_margin2_q,fixed_15pct,0,100.0,0.0,,0.0,classic
value_down_margin2_q,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin5_q,fixed_10pct,0,100.0,0.0,,0.0,classic
value_down_margin5_q,fixed_15pct,0,100.0,0.0,,0.0,classic
value_up_margin2_q,full_kelly_capped20,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down_q,fixed_10pct,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down_q,fixed_15pct,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down_q,fixed_20pct,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down,half_kelly_capped20,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down,full_kelly_capped20,0,100.0,0.0,,0.0,classic
value_up_margin2_q,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin2_book_q,fixed_20pct,0,100.0,0.0,,0.0,classic
value_down_margin2_q,fixed_15pct,0,100.0,0.0,,0.0,classic
value_down_margin2_q,fixed_20pct,0,100.0,0.0,,0.0,classic
value_down_margin2_q,fixed_25pct,0,100.0,0.0,,0.0,classic
value_down_margin2_q,full_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin2_q,half_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin2_book_q,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin2_book_q,full_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin2_book_q,half_kelly_capped20,0,100.0,0.0,,0.0,classic
rolling_rule_drop10_down_q,fixed_25pct,0,100.0,0.0,,0.0,classic
classic_trend_down_score4,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_liq,full_kelly_capped20,0,100.0,0.0,,0.0,classic
value_down_margin2_book_q,fixed_25pct,0,100.0,0.0,,0.0,classic
classic_trend_down_combo,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_combo,full_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_combo,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_up_basic,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_up_basic,full_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_up_basic,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_neutral_value_up,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_liq,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
value_up_margin2_q,half_kelly_capped20,0,100.0,0.0,,0.0,classic
value_up_margin2_q,fixed_20pct,0,100.0,0.0,,0.0,classic
value_up_margin2_q,fixed_25pct,0,100.0,0.0,,0.0,classic
value_up_margin2_q,fixed_10pct,0,100.0,0.0,,0.0,classic
classic_trend_down_liq,half_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_price,full_kelly_capped20,0,100.0,0.0,,0.0,classic
classic_trend_down_price,quarter_kelly_capped20,0,100.0,0.0,,0.0,classic
