strategy,sizing,first_quote_ts,slug,side,entry_price,qhat_for_side,target_cost,shares,best_price_max_cost,outcome_up,pnl_usd,bankroll_after
model_value_random_forest,half_kelly,2026-04-27 05:30:01+00:00,btc-updown-5m-1777267800,buy_up,0.52,0.6488363395863397,0.2810704303300086,0.5405200583269396,171.23600000000002,1.0,0.2540444274136616,2.348388414390902
model_value_random_forest,half_kelly,2026-04-27 05:35:01+00:00,btc-updown-5m-1777268100,buy_up,0.09,0.12920165945165943,0.05058281476987616,0.5620312752208463,54.3114,0.0,-0.056203127522084624,2.2921852868688175
model_value_random_forest,quarter_kelly,2026-04-26 11:20:01+00:00,btc-updown-5m-1777202400,buy_down,0.54,0.837185064935065,16.15136222473179,29.909930045799612,177.68160000000003,1.0,-16.450461525189787,83.54953847481022
model_value_random_forest,quarter_kelly,2026-04-26 11:25:01+00:00,btc-updown-5m-1777202700,buy_down,0.15,0.21237301587301594,1.532716673374263,10.21811115582842,3.3,1.0,-1.6348977849325472,81.91464068987767
model_value_random_forest,quarter_kelly,2026-04-26 11:30:01+00:00,btc-updown-5m-1777203000,buy_down,0.71,0.7605847763347763,3.572098084345714,5.031124062458752,4.2529,0.0,1.4087147374884506,83.32335542736612
model_value_random_forest,quarter_kelly,2026-04-26 11:35:02+00:00,btc-updown-5m-1777203300,buy_down,0.81,0.8985364357864358,9.706780141191274,11.983679186655893,147.5415,0.0,2.15706225359806,85.48041768096418
model_value_random_forest,quarter_kelly,2026-04-26 11:40:02+00:00,btc-updown-5m-1777203600,buy_down,0.36,0.4932718300218304,4.450051443504893,12.361254009735813,200.412,1.0,-4.573663983602251,80.90675369736194
model_value_random_forest,quarter_kelly,2026-04-26 11:50:01+00:00,btc-updown-5m-1777204200,buy_down,0.11,0.1786931216931219,1.561162212788855,14.192383752625954,51.4041,1.0,-1.7030860503151144,79.20366764704683
model_value_random_forest,quarter_kelly,2026-04-26 11:55:00+00:00,btc-updown-5m-1777204500,buy_down,0.42,0.6559947089947089,8.056744180033817,19.182724238175755,58.136399999999995,0.0,10.93415281576018,90.13782046280701
model_value_random_forest,quarter_kelly,2026-04-26 12:05:01+00:00,btc-updown-5m-1777205100,buy_up,0.76,0.8200313852813855,5.63656065481992,7.416527177394632,45.0148,0.0,-5.710725926593867,84.42709453621315
model_value_random_forest,quarter_kelly,2026-04-26 12:10:01+00:00,btc-updown-5m-1777205400,buy_up,0.13,0.2975633903133902,4.065198331838212,31.270756398755474,43.270500000000006,0.0,-4.377905895825767,80.04918864038738
model_value_random_forest,quarter_kelly,2026-04-26 12:15:00+00:00,btc-updown-5m-1777205700,buy_down,0.44,0.5000215247715252,2.1449439102319205,4.874872523254365,2.4816,1.0,-2.193692635464464,77.85549600492293
