strategy,sizing,entry_minute,remaining_minutes,first_quote_ts,slug,side,target_cost,shares,entry_price,pnl_usd,bankroll_after
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 01:20:02+00:00,btc-updown-5m-1777252800,buy_down,9.724296434050192,15.941469564016709,0.61,-9.88371112969036,38.737771040560595
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 01:25:02+00:00,btc-updown-5m-1777253100,buy_down,7.74755420811212,8.804038872854681,0.88,0.968444276014015,39.70621531657461
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 01:50:01+00:00,btc-updown-5m-1777254600,buy_down,7.941243063314921,8.359203224542023,0.95,0.3343681289816813,40.04058344555629
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 01:55:02+00:00,btc-updown-5m-1777254900,buy_down,8.008116689111258,9.886563813717602,0.81,-8.106982327248435,31.933601118307852
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 02:00:00+00:00,btc-updown-5m-1777255200,buy_down,6.3867202236615706,7.513788498425377,0.85,1.0519303897795529,32.985531508087405
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 02:10:01+00:00,btc-updown-5m-1777255800,buy_down,6.597106301617481,8.045251587338392,0.82,-6.677558817490865,26.30797269059654
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 02:20:01+00:00,btc-updown-5m-1777256400,buy_down,4.0,5.0,0.8,0.9499999999999997,27.25797269059654
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 02:25:01+00:00,btc-updown-5m-1777256700,buy_down,5.451594538119308,7.787992197313298,0.7,-5.529474460092441,21.728498230504098
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 02:55:01+00:00,btc-updown-5m-1777258500,buy_down,4.34569964610082,7.365592620509864,0.59,2.9462370482039457,24.67473527870804
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 03:00:00+00:00,btc-updown-5m-1777258800,buy_down,4.934947055741609,7.1520971822342165,0.69,-5.006468027563951,19.66826725114409
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 03:10:01+00:00,btc-updown-5m-1777259400,buy_down,3.9336534502288183,6.243894365442569,0.63,-3.996092393883244,15.672174857260845
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 03:20:01+00:00,btc-updown-5m-1777260000,buy_down,3.134434971452169,5.9140282480229605,0.53,-3.1935752539323987,12.478599603328448
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 03:35:00+00:00,btc-updown-5m-1777260900,buy_down,2.4957199206656897,3.961460191532841,0.63,1.4261256689518227,13.90472527228027
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 03:45:01+00:00,btc-updown-5m-1777261500,buy_down,2.7809450544560543,3.5653141723795567,0.78,0.7487159761997068,14.653441248479977
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 03:50:02+00:00,btc-updown-5m-1777261800,buy_down,2.9306882496959954,3.3686071835586153,0.87,0.40423286202703385,15.05767411050701
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 03:55:00+00:00,btc-updown-5m-1777262100,buy_down,3.011534822101402,3.9110841845472755,0.77,0.8604385206004005,15.91811263110741
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 04:05:02+00:00,btc-updown-5m-1777262700,buy_down,3.183622526221482,3.5373583624683134,0.9,0.3183622526221481,16.23647488372956
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 04:10:01+00:00,btc-updown-5m-1777263000,buy_down,3.2472949767459123,3.4917150287590455,0.93,0.20950290172554256,16.445977785455103
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 04:30:02+00:00,btc-updown-5m-1777264200,buy_down,3.2891955570910207,4.163538679862051,0.79,0.83270773597241,17.278685521427512
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 04:40:02+00:00,btc-updown-5m-1777264800,buy_down,3.4557371042855025,5.157816573560451,0.67,1.650501303539344,18.929186824966855
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 04:45:01+00:00,btc-updown-5m-1777265100,buy_down,3.7858373649933714,4.853637647427399,0.78,1.0192639059597535,19.94845073092661
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 04:50:01+00:00,btc-updown-5m-1777265400,buy_down,3.989690146185322,4.693753113159202,0.85,-4.036627677316914,15.911823053609695
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 04:55:02+00:00,btc-updown-5m-1777265700,buy_down,3.182364610721939,3.280788258476226,0.97,0.0656157651695246,15.97743881877922
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 05:00:01+00:00,btc-updown-5m-1777266000,buy_down,3.1954877637558443,3.328633087245671,0.96,0.09985899261737025,16.07729781139659
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 05:05:01+00:00,btc-updown-5m-1777266300,buy_down,3.2154595622793183,4.528816284900448,0.71,1.2680685597721255,17.345366371168716
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 05:10:01+00:00,btc-updown-5m-1777266600,buy_down,3.469073274233743,3.6905034832273866,0.94,0.18452517416136952,17.529891545330084
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 05:15:01+00:00,btc-updown-5m-1777266900,buy_down,3.505978309066017,3.6520607386104347,0.96,0.10956182215831316,17.639453367488397
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 05:25:02+00:00,btc-updown-5m-1777267500,buy_down,3.5278906734976796,4.968860103517859,0.71,1.3912808289850005,19.030734196473396
rule_drop10_down,fixed_20pct,2,3.0,2026-04-27 05:35:01+00:00,btc-updown-5m-1777268100,buy_down,3.8061468392946796,4.137116129668129,0.92,0.2895981290767689,19.320332325550165
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 05:35:01+00:00,btc-updown-5m-1777181700,buy_down,25.0,29.069767441860467,0.86,3.779069767441861,103.77906976744185
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 05:45:02+00:00,btc-updown-5m-1777182300,buy_down,25.944767441860463,29.151424091978047,0.89,-26.23628168278024,77.54278808466161
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 05:50:01+00:00,btc-updown-5m-1777182600,buy_down,5.7205,6.73,0.85,0.9422000000000001,78.48498808466161
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 06:05:01+00:00,btc-updown-5m-1777183500,buy_down,19.621247021165402,26.878420576938908,0.73,6.988389350004116,85.47337743466572
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 06:15:00+00:00,btc-updown-5m-1777184100,buy_down,21.36834435866643,30.526206226666332,0.7,8.852599805733238,94.32597724039896
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 06:50:01+00:00,btc-updown-5m-1777186200,buy_down,23.58149431009974,31.02828198697334,0.76,-23.891777129969473,70.43420011042949
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 07:25:02+00:00,btc-updown-5m-1777188300,buy_down,17.60855002760737,24.121301407681333,0.73,6.271538365997147,76.70573847642663
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 07:30:01+00:00,btc-updown-5m-1777188600,buy_down,19.176434619106658,24.58517258859828,0.78,5.162886243605638,81.86862472003227
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 08:15:01+00:00,btc-updown-5m-1777191300,buy_down,20.467156180008068,24.365662119057223,0.84,3.654849317858584,85.52347403789085
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 08:40:01+00:00,btc-updown-5m-1777192800,buy_down,21.380868509472712,23.240074466818164,0.92,1.6268052126772707,87.15027925056812
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 08:45:01+00:00,btc-updown-5m-1777193100,buy_down,21.78756981264203,31.12509973234576,0.7,9.026278922380271,96.17655817294839
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 08:55:01+00:00,btc-updown-5m-1777193700,buy_down,24.044139543237097,34.348770776053,0.7,9.961143525055371,106.13770169800377
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 09:30:00+00:00,btc-updown-5m-1777195800,buy_down,26.53442542450094,30.152756164205616,0.88,3.3168031780626177,109.45450487606638
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 09:45:01+00:00,btc-updown-5m-1777196700,buy_down,27.363626219016595,36.48483495868879,0.75,8.75636039008531,118.21086526615169
rule_drop10_down,fixed_25pct,2,3.0,2026-04-26 10:00:01+00:00,btc-updown-5m-1777197600,buy_down,29.55271631653792,33.582632177884,0.88,3.69408953956724,121.90495480571893
